subject,position,reconstruction,tissue,dcte
sub-003,up,75p,CSF,59.65775223692567
sub-003,up,75p,GM,29.816859958722244
sub-003,up,75p,WM,12.094986510872392
sub-003,up,75p,Brain,2.451413566051544
sub-003,up,95p,CSF,57.68878726052364
sub-003,up,95p,GM,29.984887933682455
sub-003,up,95p,WM,12.193356704111325
sub-003,up,95p,Brain,2.304483966491685
sub-003,down,full,CSF,73.18465274944138
sub-003,down,full,GM,35.83096736218492
sub-003,down,full,WM,14.509074058776859
sub-003,down,full,Brain,3.2457011779005884
sub-003,down,50p,CSF,69.34340857389824
sub-003,down,50p,GM,33.60759278248007
sub-003,down,50p,WM,13.598132393933339
sub-003,down,50p,Brain,2.8808097245290303
sub-003,down,75p,CSF,67.95428158571367
sub-003,down,75p,GM,33.03027224696397
sub-003,down,75p,WM,13.378973284077777
sub-003,down,75p,Brain,2.683695980314523
sub-003,down,95p,CSF,50.598205136525884
sub-003,down,95p,GM,25.914498717419878
sub-003,down,95p,WM,10.50283581867368
sub-003,down,95p,Brain,2.0392391193792188
sub-003,left,full,CSF,69.85151508942097
sub-003,left,full,GM,34.950196582063214
sub-003,left,full,WM,14.279939264422612
sub-003,left,full,Brain,3.1667256144562463
sub-003,left,50p,CSF,65.27156443633726
sub-003,left,50p,GM,32.34509784835474
sub-003,left,50p,WM,13.199421948651867
sub-003,left,50p,Brain,2.818697986676953
sub-003,left,75p,CSF,60.90986548438054
sub-003,left,75p,GM,30.27496198783877
sub-003,left,75p,WM,12.363627161642539
sub-003,left,75p,Brain,2.4944893436762903
sub-003,left,95p,CSF,51.33758210464294
sub-003,left,95p,GM,26.659815365406068
sub-003,left,95p,WM,10.909533584411989
sub-003,left,95p,Brain,2.095928585146294
sub-003,right,full,CSF,73.52406238481733
sub-003,right,full,GM,39.022417982049525
sub-003,right,full,WM,15.686749889880389
sub-003,right,full,Brain,3.488747120316067
sub-003,right,50p,CSF,68.09957840888762
sub-003,right,50p,GM,35.69508425953212
sub-003,right,50p,WM,14.316575513656636
sub-003,right,50p,Brain,3.0966418849067447
sub-003,right,75p,CSF,63.87962816416255
sub-003,right,75p,GM,33.38877288483409
sub-003,right,75p,WM,13.41111544285574
sub-003,right,75p,Brain,2.7399099845195303
sub-003,right,95p,CSF,46.30377975961085
sub-003,right,95p,GM,25.13638864709331
sub-003,right,95p,WM,10.101261237352988
sub-003,right,95p,Brain,1.917381078935404
