subject,position,comparison,mask,region,ssim
sub-002,up,75p,brain,GM,0.8356537380558082
sub-002,up,75p,brain,WM,0.8584009822289048
sub-002,up,75p,brain,Brain,0.8543879693644754
sub-002,up,95p,brain,CSF,0.7236604016970627
sub-002,up,95p,brain,GM,0.731679185254841
sub-002,up,95p,brain,WM,0.8058360689735404
sub-002,up,95p,brain,Brain,0.7719733174191569
sub-002,up,woBin,brain,CSF,0.9297660976870964
sub-002,up,woBin,brain,GM,0.9137406180196944
sub-002,up,woBin,brain,WM,0.930792325593404
sub-002,up,woBin,brain,Brain,0.9206657015326274
sub-002,down,50p,brain,CSF,0.887191574304878
sub-002,down,50p,brain,GM,0.8791483602945448
sub-002,down,50p,brain,WM,0.8913315121704541
sub-002,down,50p,brain,Brain,0.8924178546571597
sub-002,down,75p,brain,CSF,0.8140623661123971
sub-002,down,75p,brain,GM,0.8086646923719779
sub-002,down,75p,brain,WM,0.8401990194990278
sub-002,down,75p,brain,Brain,0.8344188138148828
sub-002,down,95p,brain,CSF,0.6759112866675465
sub-002,down,95p,brain,GM,0.685982449363295
sub-002,down,95p,brain,WM,0.7682633674253746
sub-002,down,95p,brain,Brain,0.7407322178837967
sub-002,down,woBin,brain,CSF,0.9157527035539246
sub-002,down,woBin,brain,GM,0.9030143467778542
sub-002,down,woBin,brain,WM,0.9269141399806402
sub-002,down,woBin,brain,Brain,0.9154944713529416
sub-002,left,50p,brain,CSF,0.9246857668593188
sub-002,left,50p,brain,GM,0.9106842392851632
sub-002,left,50p,brain,WM,0.9165640092913986
sub-002,left,50p,brain,Brain,0.9179629454585776
sub-002,left,75p,brain,CSF,0.8534362856505988
sub-002,left,75p,brain,GM,0.842087863033838
sub-002,left,75p,brain,WM,0.8643887449066373
sub-002,left,75p,brain,Brain,0.8592687677219486
sub-002,left,95p,brain,CSF,0.7471269092344095
sub-002,left,95p,brain,GM,0.7521288514351305
sub-002,left,95p,brain,WM,0.8263097451075544
sub-002,left,95p,brain,Brain,0.7886141510624947
sub-002,left,woBin,brain,CSF,0.9288563525794864
sub-002,left,woBin,brain,GM,0.912749984037362
sub-002,left,woBin,brain,WM,0.9293381871770952
sub-002,left,woBin,brain,Brain,0.9184397862213872
sub-002,right,50p,brain,CSF,0.9281955449896444
sub-002,right,50p,brain,GM,0.9156074093554502
sub-002,right,50p,brain,WM,0.925495949274852
sub-002,right,50p,brain,Brain,0.9234336837660464
sub-002,right,75p,brain,CSF,0.8258256870402473
sub-002,right,75p,brain,GM,0.8174354579423453
sub-002,right,75p,brain,WM,0.8436086424534477
sub-002,right,75p,brain,Brain,0.8396565160915282
sub-002,right,95p,brain,CSF,0.6999049556916959
sub-002,right,95p,brain,GM,0.6999545051231241
sub-002,right,95p,brain,WM,0.7793617459119235
sub-002,right,95p,brain,Brain,0.7502685898680482
sub-002,right,woBin,brain,CSF,0.9248769151724024
sub-002,right,woBin,brain,GM,0.90989102453591
sub-002,right,woBin,brain,WM,0.928767869410744
sub-002,right,woBin,brain,Brain,0.9178115455108724
sub-003,up,50p,brain,CSF,0.9475038294644134
sub-003,up,50p,brain,GM,0.9461953878297348
sub-003,up,50p,brain,WM,0.9560329311492692
sub-003,up,50p,brain,Brain,0.9508829844423332
sub-003,up,75p,brain,CSF,0.8585796318035228
sub-003,up,75p,brain,GM,0.8662890439054898
sub-003,up,75p,brain,WM,0.8917467486353635
sub-003,up,75p,brain,Brain,0.8803151319815092
sub-003,up,95p,brain,CSF,0.7820791856110416
sub-003,up,95p,brain,GM,0.8016534097452142
sub-003,up,95p,brain,WM,0.8562989075355645
sub-003,up,95p,brain,Brain,0.8321026484291282
sub-003,up,woBin,brain,CSF,0.9568877405892576
sub-003,up,woBin,brain,GM,0.9538465779331516
sub-003,up,woBin,brain,WM,0.9681728430860822
sub-003,up,woBin,brain,Brain,0.9571284741125508
sub-003,down,50p,brain,CSF,0.9375610940972348
sub-003,down,50p,brain,GM,0.9352758548076712
sub-003,down,50p,brain,WM,0.9480665166724528
sub-003,down,50p,brain,Brain,0.9409352194248796
sub-003,down,75p,brain,CSF,0.8939898444117846
sub-003,down,75p,brain,GM,0.8982968190468172
sub-003,down,75p,brain,WM,0.92426037295595
sub-003,down,75p,brain,Brain,0.907923657217338
sub-003,down,95p,brain,CSF,0.7225513460741042
sub-003,down,95p,brain,GM,0.743346841186944
sub-003,down,95p,brain,WM,0.8074800645259219
sub-003,down,95p,brain,Brain,0.7820962949737917
sub-003,down,woBin,brain,CSF,0.9428770332579164
sub-003,down,woBin,brain,GM,0.9374558931033036
sub-003,down,woBin,brain,WM,0.9562691631248246
sub-003,down,woBin,brain,Brain,0.9403133114419284
sub-003,left,50p,brain,CSF,0.9413667146640656
sub-003,left,50p,brain,GM,0.9383499066623828
sub-003,left,50p,brain,WM,0.9491418599512766
sub-003,left,50p,brain,Brain,0.9436812503103772
sub-003,left,75p,brain,CSF,0.888355480711399
sub-003,left,75p,brain,GM,0.8923624332842806
sub-003,left,75p,brain,WM,0.9154179434484708
sub-003,left,75p,brain,Brain,0.9026668392278068
sub-003,left,95p,brain,CSF,0.759381033692927
sub-003,left,95p,brain,GM,0.7762448955141489
sub-003,left,95p,brain,WM,0.8358506228274237
sub-003,left,95p,brain,Brain,0.8099821113101844
sub-003,left,woBin,brain,CSF,0.94621245232678
sub-003,left,woBin,brain,GM,0.9413166263766088
sub-003,left,woBin,brain,WM,0.9583315240863384
sub-003,left,woBin,brain,Brain,0.9441780776217574
sub-003,right,50p,brain,CSF,0.94558650653299
sub-003,right,50p,brain,GM,0.9430419396779232
sub-003,right,50p,brain,WM,0.9527498526182826
sub-003,right,50p,brain,Brain,0.9482933804531986
sub-003,right,75p,brain,CSF,0.8969187325946419
sub-003,right,75p,brain,GM,0.9006388395256414
sub-003,right,75p,brain,WM,0.9224652949286896
sub-003,right,75p,brain,Brain,0.9115812041722838
sub-003,right,95p,brain,CSF,0.7056451516400075
sub-003,right,95p,brain,GM,0.7184668010091366
sub-003,right,95p,brain,WM,0.7783904828961171
sub-003,right,95p,brain,Brain,0.760971956059165
sub-003,right,woBin,brain,CSF,0.9600629460467094
sub-003,right,woBin,brain,GM,0.9555276806651768
sub-003,right,woBin,brain,WM,0.96854247716335
sub-003,right,woBin,brain,Brain,0.9588650611194142
sub-001,up,50p,eyes,Eyes,0.8695049667633202
sub-001,up,75p,eyes,Eyes,0.8046950791651728
sub-001,up,95p,eyes,Eyes,0.7071137135687432
sub-001,up,woBin,eyes,Eyes,0.838218264960254
sub-001,down,50p,eyes,Eyes,0.875219712464586
sub-001,down,75p,eyes,Eyes,0.8194684235940436
sub-001,down,95p,eyes,Eyes,0.7169520135874109
sub-001,down,woBin,eyes,Eyes,0.8551220382302396
sub-001,left,50p,eyes,Eyes,0.8716632871230288
sub-001,left,75p,eyes,Eyes,0.8169138538202184
sub-001,left,95p,eyes,Eyes,0.7208140660917234
sub-001,left,woBin,eyes,Eyes,0.8674717057408418
sub-001,right,50p,eyes,Eyes,0.8635808811272248
sub-001,right,75p,eyes,Eyes,0.7951685203875555
sub-001,right,95p,eyes,Eyes,0.6935099083899336
sub-001,right,woBin,eyes,Eyes,0.8309815958750232
sub-002,up,50p,eyes,Eyes,0.9084038820149796
