position,mask,region,comparison,n_subjects,mean_ssim,std_ssim,median_ssim
left,eyes,WholeVolume,75p,0,,,
left,eyes,WholeVolume,95p,0,,,
left,volume,Brain,woBin,0,,,
left,volume,Brain,50p,0,,,
left,volume,Brain,75p,0,,,
left,volume,Brain,95p,0,,,
left,volume,CSF,woBin,0,,,
left,volume,CSF,50p,0,,,
left,volume,CSF,75p,0,,,
left,volume,CSF,95p,0,,,
left,volume,Eyes,woBin,0,,,
left,volume,Eyes,50p,0,,,
left,volume,Eyes,75p,0,,,
left,volume,Eyes,95p,0,,,
left,volume,GM,woBin,0,,,
left,volume,GM,50p,0,,,
left,volume,GM,75p,0,,,
left,volume,GM,95p,0,,,
left,volume,WM,woBin,0,,,
left,volume,WM,50p,0,,,
left,volume,WM,75p,0,,,
left,volume,WM,95p,0,,,
left,volume,WholeVolume,woBin,3,0.971399985554818,0.0027140286056139486,0.9717499586998736
left,volume,WholeVolume,50p,3,0.9731331327061135,0.0049007070644752435,0.9731985951152684
left,volume,WholeVolume,75p,3,0.9486383034871135,0.007293643738973495,0.9458240276833147
left,volume,WholeVolume,95p,3,0.8611903806773311,0.020167963752874555,0.8703775326122264
right,brain,Brain,woBin,3,0.9345234141792466,0.02156404236948036,0.9268936359074532
right,brain,Brain,50p,3,0.9325865237577423,0.013664460511091476,0.926032507053982
right,brain,Brain,75p,3,0.8789188070701607,0.036413721840322585,0.8855187009466701
right,brain,Brain,95p,3,0.7703122923651954,0.0260039768928769,0.760971956059165
right,brain,CSF,woBin,3,0.9402863609563538,0.017994947109204754,0.9359192216499496
right,brain,CSF,50p,3,0.9358455520143707,0.008882028592455328,0.9337546045204778
right,brain,CSF,75p,3,0.8707474633081499,0.03907993622813057,0.8894979702895605
right,brain,CSF,95p,3,0.7242065254697144,0.03723118871887562,0.7056451516400075
right,brain,Eyes,woBin,0,,,
right,brain,Eyes,50p,0,,,
right,brain,Eyes,75p,0,,,
right,brain,Eyes,95p,0,,,
right,brain,GM,woBin,3,0.9297626457130804,0.023382158585278243,0.9238692319381544
right,brain,GM,50p,3,0.9272858709987628,0.014164516329821103,0.923208263962915
right,brain,GM,75p,3,0.8660479297317996,0.043337672149314777,0.8800694917274119
right,brain,GM,95p,3,0.7323918159242752,0.041204067870907156,0.7184668010091366
right,brain,WM,woBin,3,0.9460777175497198,0.02038221503424145,0.9409228060750654
right,brain,WM,50p,3,0.937026851398445,0.014102272263284922,0.9328347523022004
right,brain,WM,75p,3,0.8896509204179184,0.041058811261842014,0.902878823871618
right,brain,WM,95p,3,0.8000387443613827,0.036657967184477336,0.7793617459119235
right,brain,WholeVolume,woBin,0,,,
right,brain,WholeVolume,50p,0,,,
right,brain,WholeVolume,75p,0,,,
right,brain,WholeVolume,95p,0,,,
right,eyes,Brain,woBin,0,,,
right,eyes,Brain,50p,0,,,
right,eyes,Brain,75p,0,,,
right,eyes,Brain,95p,0,,,
right,eyes,CSF,woBin,0,,,
right,eyes,CSF,50p,0,,,
right,eyes,CSF,75p,0,,,
right,eyes,CSF,95p,0,,,
right,eyes,Eyes,woBin,3,0.8854770714016847,0.05833653003175945,0.8784343863550146
right,eyes,Eyes,50p,3,0.904022508213033,0.03946293975011465,0.9060587207784484
right,eyes,Eyes,75p,3,0.8388037068308463,0.056855363014352185,0.8181417734362709
right,eyes,Eyes,95p,3,0.7105961616071891,0.03681242216554451,0.6935099083899336
right,eyes,GM,woBin,0,,,
right,eyes,GM,50p,0,,,
right,eyes,GM,75p,0,,,
right,eyes,GM,95p,0,,,
right,eyes,WM,woBin,0,,,
right,eyes,WM,50p,0,,,
right,eyes,WM,75p,0,,,
right,eyes,WM,95p,0,,,
right,eyes,WholeVolume,woBin,0,,,
right,eyes,WholeVolume,50p,0,,,
right,eyes,WholeVolume,75p,0,,,
right,eyes,WholeVolume,95p,0,,,
right,volume,Brain,woBin,0,,,
